id,name,parent_id,grandparent_id
2,メンズ,0,0
3,ベビー・キッズ,0,0
4,インテリア・住まい・小物,0,0
5,本・音楽・ゲーム,0,0
6,おもちゃ・ホビー・グッズ,0,0
7,コスメ・香水・美容,0,0
8,家電・スマホ・カメラ,0,0
9,スポーツ・レジャー,0,0
10,ハンドメイド,0,0
11,チケット,0,0
12,自動車・オートバイ,0,0
13,その他,0,0
14,トップス,1,0
15,ジャケット/アウター,1,0
16,パンツ,1,0
17,スカート,1,0
18,ワンピース,1,0
19,靴,1,0
20,ルームウェア/パジャマ,1,0
21,レッグウェア,1,0
22,帽子,1,0
23,バッグ,1,0
24,アクセサリー,1,0
25,ヘアアクセサリー,1,0
26,小物,1,0
27,時計,1,0
28,ウィッグ/エクステ,1,0
29,浴衣/水着,1,0
30,スーツ/フォーマル/ドレス,1,0
31,マタニティ,1,0
32,その他,1,0
33,トップス,2,0
34,ジャケット/アウター,2,0
35,パンツ,2,0
36,靴,2,0
37,バッグ,2,0
38,スーツ,2,0
39,帽子,2,0
40,アクセサリー,2,0
41,小物,2,0
42,時計,2,0
43,水着,2,0
44,レッグウェア,2,0
45,アンダーウェア,2,0
46,その他,2,0
47,ベビー服(女の子用)  ~95cm,3,0
48,ベビー服(男の子用)  ~95cm,3,0
49,ベビー服(男女兼用)  ~95cm,3,0
50,キッズ服(女の子用) 100cm~,3,0
51,キッズ服(男の子用) 100cm~,3,0
52,キッズ服(男女兼用) 100cm~,3,0
53,キッズ靴,3,0
54,子ども用ファッション小物,3,0
55,おむつ/トイレ/バス,3,0
56,外出/移動用品,3,0
57,授乳/食事,3,0
58,ベビー家具/寝具/室内用品,3,0
59,おもちゃ,3,0
60,行事/記念品,3,0
61,その他,3,0
62,キッチン/食器,4,0
63,ベッド/マットレス,4,0
64,ソファ/ソファベッド,4,0
65,椅子/チェア,4,0
66,机/テーブル,4,0
67,収納家具,4,0
68,ラグ/カーペット/マット,4,0
69,カーテン/ブラインド,4,0
70,ライト/照明,4,0
71,寝具,4,0
72,インテリア小物,4,0
73,季節/年中行事,4,0
74,その他,4,0
75,本,5,0
76,漫画,5,0
77,雑誌,5,0
78,CD,5,0
79,DVD/ブルーレイ,5,0
80,レコード,5,0
81,テレビゲーム,5,0
82,おもちゃ,6,0
83,タレントグッズ,6,0
84,コミック/アニメグッズ,6,0
85,トレーディングカード,6,0
86,フィギュア,6,0
87,楽器/器材,6,0
88,コレクション,6,0
89,ミリタリー,6,0
90,美術品,6,0
91,アート用品,6,0
92,その他,6,0
93,ベースメイク,7,0
94,メイクアップ,7,0
95,ネイルケア,7,0
96,香水,7,0
97,スキンケア/基礎化粧品,7,0
98,ヘアケア,7,0
99,ボディケア,7,0
100,オーラルケア,7,0
101,リラクゼーション,7,0
102,ダイエット,7,0
103,その他,7,0
104,スマートフォン/携帯電話,8,0
105,スマホアクセサリー,8,0
106,PC/タブレット,8,0
107,カメラ,8,0
108,テレビ/映像機器,8,0
109,オーディオ機器,8,0
110,美容/健康,8,0
111,冷暖房/空調,8,0
112,生活家電,8,0
113,その他,8,0
114,ゴルフ,9,0
115,フィッシング,9,0
116,自転車,9,0
117,トレーニング/エクササイズ,9,0
118,野球,9,0
119,サッカー/フットサル,9,0
120,テニス,9,0
121,スノーボード,9,0
122,スキー,9,0
123,その他スポーツ,9,0
124,アウトドア,9,0
125,その他,9,0
126,アクセサリー(女性用),10,0
127,ファッション/小物,10,0
128,アクセサリー/時計,10,0
129,日用品/インテリア,10,0
130,趣味/おもちゃ,10,0
131,キッズ/ベビー,10,0
132,素材/材料,10,0
133,二次創作物,10,0
134,その他,10,0
135,音楽,11,0
136,スポーツ,11,0
137,演劇/芸能,11,0
138,イベント,11,0
139,映画,11,0
140,施設利用券,11,0
141,優待券/割引券,11,0
142,その他,11,0
143,自動車本体,12,0
144,自動車タイヤ/ホイール,12,0
145,自動車パーツ,12,0
146,自動車アクセサリー,12,0
147,オートバイ車体,12,0
148,オートバイパーツ,12,0
149,オートバイアクセサリー,12,0
150,まとめ売り,13,0
151,ペット用品,13,0
152,食品,13,0
153,飲料/酒,13,0
154,日用品/生活雑貨/旅行,13,0
155,アンティーク/コレクション,13,0
156,文房具/事務用品,13,0
157,事務/店舗用品,13,0
158,その他,13,0
159,Tシャツ/カットソー(半袖/袖なし),14,1
160,Tシャツ/カットソー(七分/長袖),14,1
161,シャツ/ブラウス(半袖/袖なし),14,1
162,シャツ/ブラウス(七分/長袖),14,1
163,ポロシャツ,14,1
164,キャミソール,14,1
165,タンクトップ,14,1
166,ホルターネック,14,1
167,ニット/セーター,14,1
168,チュニック,14,1
169,カーディガン/ボレロ,14,1
170,アンサンブル,14,1
171,ベスト/ジレ,14,1
172,パーカー,14,1
173,トレーナー/スウェット,14,1
174,ベアトップ/チューブトップ,14,1
175,ジャージ,14,1
176,その他,14,1
177,テーラードジャケット,15,1
178,ノーカラージャケット,15,1
179,Gジャン/デニムジャケット,15,1
180,レザージャケット,15,1
181,ダウンジャケット,15,1
182,ライダースジャケット,15,1
183,ミリタリージャケット,15,1
184,ダウンベスト,15,1
185,ジャンパー/ブルゾン,15,1
186,ポンチョ,15,1
187,ロングコート,15,1
188,トレンチコート,15,1
189,ダッフルコート,15,1
190,ピーコート,15,1
191,チェスターコート,15,1
192,モッズコート,15,1
193,スタジャン,15,1
194,毛皮/ファーコート,15,1
195,スプリングコート,15,1
196,スカジャン,15,1
197,その他,15,1
198,デニム/ジーンズ,16,1
199,ショートパンツ,16,1
200,カジュアルパンツ,16,1
201,ハーフパンツ,16,1
202,チノパン,16,1
203,ワークパンツ/カーゴパンツ,16,1
204,クロップドパンツ,16,1
205,サロペット/オーバーオール,16,1
206,オールインワン,16,1
207,サルエルパンツ,16,1
208,ガウチョパンツ,16,1
209,その他,16,1
210,ミニスカート,17,1
211,ひざ丈スカート,17,1
212,ロングスカート,17,1
213,キュロット,17,1
214,その他,17,1
215,ミニワンピース,18,1
216,ひざ丈ワンピース,18,1
217,ロングワンピース,18,1
218,その他,18,1
219,ハイヒール/パンプス,19,1
220,ブーツ,19,1
221,サンダル,19,1
222,スニーカー,19,1
223,ミュール,19,1
224,モカシン,19,1
225,ローファー/革靴,19,1
226,フラットシューズ/バレエシューズ,19,1
227,長靴/レインシューズ,19,1
228,その他,19,1
229,パジャマ,20,1
230,ルームウェア,20,1
231,ソックス,21,1
232,スパッツ/レギンス,21,1
233,ストッキング/タイツ,21,1
234,レッグウォーマー,21,1
235,その他,21,1
236,ニットキャップ/ビーニー,22,1
237,ハット,22,1
238,ハンチング/ベレー帽,22,1
239,キャップ,22,1
240,キャスケット,22,1
241,麦わら帽子,22,1
242,その他,22,1
243,ハンドバッグ,23,1
244,トートバッグ,23,1
245,エコバッグ,23,1
246,リュック/バックパック,23,1
247,ボストンバッグ,23,1
248,スポーツバッグ,23,1
249,ショルダーバッグ,23,1
250,クラッチバッグ,23,1
251,ポーチ/バニティ,23,1
252,ボディバッグ/ウェストバッグ,23,1
253,マザーズバッグ,23,1
254,メッセンジャーバッグ,23,1
255,ビジネスバッグ,23,1
256,旅行用バッグ/キャリーバッグ,23,1
257,ショップ袋,23,1
258,和装用バッグ,23,1
259,かごバッグ,23,1
260,その他,23,1
261,ネックレス,24,1
262,ブレスレット,24,1
263,バングル/リストバンド,24,1
264,リング,24,1
265,ピアス(片耳用),24,1
266,ピアス(両耳用),24,1
267,イヤリング,24,1
268,アンクレット,24,1
269,ブローチ/コサージュ,24,1
270,チャーム,24,1
271,その他,24,1
272,ヘアゴム/シュシュ,25,1
273,ヘアバンド/カチューシャ,25,1
274,ヘアピン,25,1
275,その他,25,1
276,長財布,26,1
277,折り財布,26,1
278,コインケース/小銭入れ,26,1
279,名刺入れ/定期入れ,26,1
280,キーケース,26,1
281,キーホルダー,26,1
282,手袋/アームカバー,26,1
283,ハンカチ,26,1
284,ベルト,26,1
285,マフラー/ショール,26,1
286,ストール/スヌード,26,1
287,バンダナ/スカーフ,26,1
288,ネックウォーマー,26,1
289,サスペンダー,26,1
290,サングラス/メガネ,26,1
291,モバイルケース/カバー,26,1
292,手帳,26,1
293,イヤマフラー,26,1
294,傘,26,1
295,レインコート/ポンチョ,26,1
296,ミラー,26,1
297,タバコグッズ,26,1
298,その他,26,1
299,腕時計(アナログ),27,1
300,腕時計(デジタル),27,1
301,ラバーベルト,27,1
302,レザーベルト,27,1
303,金属ベルト,27,1
304,その他,27,1
305,前髪ウィッグ,28,1
306,ロングストレート,28,1
307,ロングカール,28,1
308,ショートストレート,28,1
309,ショートカール,28,1
310,その他,28,1
311,浴衣,29,1
312,着物,29,1
313,振袖,29,1
314,長襦袢/半襦袢,29,1
315,水着セパレート,29,1
316,水着ワンピース,29,1
317,水着スポーツ用,29,1
318,その他,29,1
319,スカートスーツ上下,30,1
320,パンツスーツ上下,30,1
321,ドレス,30,1
322,パーティーバッグ,30,1
323,シューズ,30,1
324,ウェディング,30,1
325,その他,30,1
326,トップス,31,1
327,アウター,31,1
328,インナー,31,1
329,ワンピース,31,1
330,パンツ/スパッツ,31,1
331,スカート,31,1
332,パジャマ,31,1
333,授乳服,31,1
334,その他,31,1
335,コスプレ,32,1
336,下着,32,1
337,その他,32,1
338,Tシャツ/カットソー(半袖/袖なし),33,2
339,Tシャツ/カットソー(七分/長袖),33,2
340,シャツ,33,2
341,ポロシャツ,33,2
342,タンクトップ,33,2
343,ニット/セーター,33,2
344,パーカー,33,2
345,カーディガン,33,2
346,スウェット,33,2
347,ジャージ,33,2
348,ベスト,33,2
349,その他,33,2
350,テーラードジャケット,34,2
351,ノーカラージャケット,34,2
352,Gジャン/デニムジャケット,34,2
353,レザージャケット,34,2
354,ダウンジャケット,34,2
355,ライダースジャケット,34,2
356,ミリタリージャケット,34,2
357,ナイロンジャケット,34,2
358,フライトジャケット,34,2
359,ダッフルコート,34,2
360,ピーコート,34,2
361,ステンカラーコート,34,2
362,トレンチコート,34,2
363,モッズコート,34,2
364,チェスターコート,34,2
365,スタジャン,34,2
366,スカジャン,34,2
367,ブルゾン,34,2
368,マウンテンパーカー,34,2
369,ダウンベスト,34,2
370,ポンチョ,34,2
371,カバーオール,34,2
372,その他,34,2
373,デニム/ジーンズ,35,2
374,ワークパンツ/カーゴパンツ,35,2
375,スラックス,35,2
376,チノパン,35,2
377,ショートパンツ,35,2
378,ペインターパンツ,35,2
379,サルエルパンツ,35,2
380,オーバーオール,35,2
381,その他,35,2
382,スニーカー,36,2
383,サンダル,36,2
384,ブーツ,36,2
385,モカシン,36,2
386,ドレス/ビジネス,36,2
387,長靴/レインシューズ,36,2
388,デッキシューズ,36,2
389,その他,36,2
390,ショルダーバッグ,37,2
391,トートバッグ,37,2
392,ボストンバッグ,37,2
393,リュック/バックパック,37,2
394,ウエストポーチ,37,2
395,ボディーバッグ,37,2
396,ドラムバッグ,37,2
397,ビジネスバッグ,37,2
398,トラベルバッグ,37,2
399,メッセンジャーバッグ,37,2
400,エコバッグ,37,2
401,その他,37,2
402,スーツジャケット,38,2
403,スーツベスト,38,2
